Question,Subj_Q,Answer,Subj_A
ما ترشيحاتكم لقنوات عربية مفيدة جدا لتعليم c   من الصفر لمستوى متقدم جدا  وهل يمكنكم مشاركة تجاربكم حول ذلك ,0,وعليكم السلام  سأقوم بترشيح بعض القنوات التي اجدها من افضل القنوات لتعلم البرمجة باللغة العربية  هناك العديد من القنوات العربيه لتعلم لغه c   ولكن يوجد بعض القنوات التي تقدم محتوي جيد جدا في شرح لغة c   ومن هذه القنوات1  قناة بغداد الجديدة The New Baghdad  من القنوات المميزة والتي اشتهرت سريعا وتحتوي علي اكثر من 1000 فديو لتعلم العديد من لغات البرمجة وتتميز فيديوهات هذه القناة بقصرها وسهولتها مما يساعد علي البدء في التعلم  2 قناة المهندس محمد عيسي  وهذه القناة يوجد بها العديد من الكورسات في جميع لغات البرمجة مثل الجافا وC   وC ويوجد بها أيضا كورسات تطوير برامج الأندرويد وبرامج الويب ويوجد بهاوعليكم السلام  سأقوم بترشيح بعض القنوات التي اجدها من افضل القنوات لتعلم البرمجة باللغة العربية  هناك العديد من القنوات العربيه لتعلم لغه c   ولكن يوجد بعض القنوات التي تقدم محتوي جيد جدا في شرح لغة c   ومن هذه القنوات1  قناة بغداد الجديدة The New Baghdad  من القنوات المميزة والتي اشتهرت سريعا وتحتوي علي اكثر من 1000 فديو لتعلم العديد من لغات البرمجة وتتميز فيديوهات هذه القناة بقصرها وسهولتها مما يساعد علي البدء في التعلم  2 قناة المهندس محمد عيسي  وهذه القناة يوجد بها العديد من الكورسات في جميع لغات البرمجة مثل الجافا وC   وC ويوجد بها أيضا كورسات تطوير برامج الأندرويد وبرامج الويب ويوجد بها العديد من الدورات والكورسات مما يجعلها من افضل قنوات اليوتيوب لتعلم البرمجة باللغة العربية 3  قناة المهندس محمد الدسوقي  المهندس محمد الدسوقي من افضل المتخصصين في شرح البرمجة بسبب أسلوبه الذي يتميز بالسهولة في إيصال المعلومة   وكما انه يبدأ في شرح الكورس من مستوي الطالب المبتدي وهذا الذي يجعله مناسب للاشخاص الذين يريدون تعلم البرمجة وهو أفضل من يشرح لغة C    وعن تجربة  هذا راي الشخصي   وتجربتي في تعلم البرمجة هي انني بدأت في تعلم البرمجة بي لغة c   رغم إن هناك من يقول انها من أصعب اللغات ولكن انا لا أراها صعبة ولكنها تحتاج الي مجهود اكبر في تعلمها لأنك ان اتقنتها جيدا سيكون من السهل جدا تعلم لغات البرمجة الاخري لان لغة c   بها جميع الاكواد والاوامر الموجوده في معظم لغات البرمجة  ولقد مكثت أكثر من شهرين اتعلم لغه c   أعلم إنها مده كبيره ولكن هذا ليس لأن لغة c  صعبه بل لاني كنت اتكاسل وامل سريعا   ولكن ما زلت أتعلم البرمجة لأني احبها   ونصيحتي لك هي ان تستمر في تعلم البرمجة ولا تمل او تتكاسل مثلي  وابدا في تعلم البرمجه فورا   لأن مجال البرمجه دايما في تطور وتقدم وانت عندما توجل التعلم سوف يتطلب الكثير من التعلم والجهد لكي تواكب التطور في هذا المجال  وبالتوفيق للجميع   ,0
ما هي بعض الأفكار المهمة التي يمكنني طرحها في عرضي التقديمي حول الخصوصية  فالأمر كله يتعلق بالأمن السيبراني  ما الذي يمكنني مناقشته جيد ا حول هذا الموضوع ,0,السؤال غير واضح ويحتاج لتفاصيل اضافية  إذ دائما ما يراعى في العروض التقديمية مستوى المتلقي ومن هم الجمهور فكلمة خصوصية  بالنسبة لطفل في الخامسة تختلف عن مدير تنفيذي لشركة بالملايين  رغم أن كلاهما يحتاج للتوعية بأهمية الخصوصية وسبل حمايتها بالطبع  على أي حال فهذه الفكرة في حد ذاتها مدخل جيد للنقاش  تحديد النطاق الخاص لكل شخص  ما يسمح ومالا يسمح بمشاركته من معلومات  ونطاق المشاركة المسموح به أيضا   يمكنك أيضا مناقشة أثر شبكات التواصل الاجتماعي  مواقع التوظيف والانترنت  السياسات المطلوب تطبيقها سواء للأفراد  أو البيئات المنزلية أو الشركات  كما لدينا نوعين من الأصول مطلوب تأمينهما  الأصول البشرية  الأفراد  كوادر الموظفين  الأطفال  إلخ   ومادية  كالعتاد والبرامج والوثائق وما شابه  يمكنك الاشارة لنقاط الضعف الشائعة بحسب ما يناسب جمهورك ,0
هل جربت استضافة Hostinger  ما هي مميزاتها وعيوبها ,0,ما الذي تحصل عليه من Bluehost  تخصيص موقعك بنطاق فريد وعنوان بريد إلكتروني   تعامل مع الكثير من حركة المرور من خلال منصة موثوقة تعمل بالطاقة السحابية  استمتع بالتكامل المثالي مع WordPress وقم بتثبيته بنقرة واحدة   احصل على مجال مجاني وموضوع قابل للتخصيص والمزيد  ترقية مع نمو حركة المرور الخاصة بك مع تحجيم الموارد بنقرة واحدة   زيادة شعبيتك من خلال خدمات تحسين محركات البحث والتسويق الاختيارية  تلقي دعم الخبراء على مدار الساعة طوال أيام الأسبوع لأي أسئلة أو مشاكل  حدد السمات والإضافات الجديدة بسهولة عبر سوق MOJO  مراقبة موقعك باستخدام لوحة تحكم متكاملة وتحليلات مضمنة ويمكنك مسار الموقع من ,0
اذا كان لدينا ملف 1 Giga ولدينا حاسوبين بنفس العتاد تماما  ومتصلين بنفس مصدر الشبكة لكن الاول بقرص صلب hdd والثاني ssd ايهما اولا يكتمل تنزيل الملف لديه ,0,مرحبا علاء  لا أعتقد أن نوع القرص الصلب سيؤثر في العملية  عند حساب سرعة الاتصال في نظام فأنت تحسب وفقا  للحلقة الأضعف في النظام  bottle neck  وهي بالتأكيد ليست القرص الصلب  فالكمبيوتر يخزن على القرص الصلب  أيا كان نوعه  بسرعة أكبر بكثير من سرعة تحميله من على الشبكة  بالتالي  فمهما كانت سرعة القرص الصلب فلن تصنع فارقا من ناحية نظرية يمكنك القول بأن كلاهما سيحمل الملف في نفس الوقت  عمليا ممكن نقول أن الحظ سيتدخل ,0
أنا مقبل على الدراسة الجامعية وأهتم بكتابة الكود ولكن عندما بحثت عن تخصصات الجامعة لم أجد أي تخصص يحقق رغبتي فأنا الآن محتار بين ثلاثة تخصصات وهي علوم الحاسوب أو هندسة البرمجيات أو تقنية المعلومات  أي من هذه التخصصات يركز على كتابة الكود  وما نصيحتك ,0,مرحبا  عزيزي  هندسة البرمجيات هي المجال المطلوب  أما إن كنت فقط تريد تعلم syntax ولست مستعدا  لدراسة هندسة البرمجيات على أسس سليمة فلا أعتقد أن هذا يمكنه أن يكون تخصصا  جامعيا   الواقع أن الجامعات لا تهتم كثيرا  بتعليمك لغة معينة  قد تدرس لغة أو اثنتين لأغراض التعلم لا أكثر  فاللغة هي شئ تتعلمه أنت لنفسك  لكن قواعد انتاج البرمجيات وتصميمها هو ما سوف تهتم به الجامعة  فالكود هو مجرد أداة  العلم والفكر وراء هذه الأداة هو الشئ المهم اذا كان كل ما تريده هو تعلم syntax وكتابة اكواد فاليوتيوب ملئ بالكورسات المناسبة  لكن ماذا يمكنك أن تفعل بها إذا لم تعرف كيف تصمم حلولا  ,0
هل يوجد تطبيق للربط بين الهاتف واللابتوب لتسهيل عملية نقل الملفات  غير تطبيق SHAREit ,0,عن طريق برنامج x plore   شير الملفات تبع الويندوز   لابد أن يكون الهاتف والاب متصلين بنفس شبكة الواى فاى  ادخل على البرنامج على هاتفك وابحث عن اللاب   وستجده انشاء الله   إذا لم تعرف كيف تشير ملفات الويندوز أو حدث اى عائق راسلنى فى التعليقات,0
قمت بعمل شفرة للهارد الخارجي Storagecyrpt ونسيت كلمة السر  كيف ألغي هذا التشفير ,0,مرحبا  اجبتك سابقا,0
ما هي تجربتك مع موقع بوست كوير  postquare com  للإعلان على مدونتك أو موقعك الإلكتروني  ما هي العيوب ,0,تحديث للسؤال لدى التسجيل في موقع EngageYa  postquareو الى الأن لم احظ بأجابة ماهي مساؤى الموقع  ,0
هل موقع كورا مراقب من الحكومات العربية مثل تويتر  هل يمكن التحدث عن السياسة دون القلق من ترصد الباطشين ,0,مرحبا   لا يوجد أي سبب للاعتقاد بأن أي موقع على انترنت هو آمن بنسبة 100  من المراقبة والترصد المقصود  ولا يوجد أي مانع لأي حكومة عربية أو غير عربية من تعيين عناصر مختصة بمراقبة الاجابات المكتوبة أو حتى مراسلة الافراد ومحاولة الإيقاع بهم بالتالي فعلى الانترنت  كما المجال العام  مسؤولية تأمين نفسك تقع على عاتقك  إذا كنت تنوي الحديث في السياسة وكنت تعيش في بلد دكتاتوري تخاف بطش النظام فيه  فلا يجب عليك أن تقدم أي معلومة يمكنها أن تدل عليك  كما يجب عليك  أيضا   اعتماد الحلول التي تخفي من خلالها عنوان الآيبي الخاص بك عن الموقع الذي تمارس عليه ذلك النشاط دائما   ولا تدخل عليه أبدا  مالم تخفي بياناتك يظل الوصول إليك ممكنا  ولو نظريا   لكن في الغالب فلن يتكبد أحد العناء للوصول إليك مالم تكن مؤثرا  حقا   في هذه الحالة أنصحك باستشارة خبير ,0
ماهي سلبيات الذكاء الاصطناعي  ,0,من الممكن تحديد بعض السلبيات التي قد تصاحب الذكاء الاصطناعي  على سبيل المثال 1  قدرتها المحدودة على الفهم الحقيقي للعالم والبيئة الاجتماعية والثقافية بشكل كامل  بما في ذلك المعاني الدقيقة والتفاصيل الدقيقة في اللغات الأخرى 2  الاعتماد على البيانات المدخلة لها  مما يعني أن الأخطاء التي تحدث في البيانات المدخلة قد تؤدي إلى نتائج خاطئة أو غير دقيقة 3  عدم قدرتها على الشعور بالمشاعر البشرية والتفاعل الاجتماعي بنفس الطريقة التي يفعلها البشر 4  الاعتماد الكامل على البرمجيات والأجهزة الأخرى التي تشغلها  وهذا يعني أن أي خلل في هذه الأجهزة يمكن أن يؤدي إلى أخطاء في العملية 5  الصعوبة في التعامل مع مفاهمن الممكن تحديد بعض السلبيات التي قد تصاحب الذكاء الاصطناعي  على سبيل المثال 1  قدرتها المحدودة على الفهم الحقيقي للعالم والبيئة الاجتماعية والثقافية بشكل كامل  بما في ذلك المعاني الدقيقة والتفاصيل الدقيقة في اللغات الأخرى 2  الاعتماد على البيانات المدخلة لها  مما يعني أن الأخطاء التي تحدث في البيانات المدخلة قد تؤدي إلى نتائج خاطئة أو غير دقيقة 3  عدم قدرتها على الشعور بالمشاعر البشرية والتفاعل الاجتماعي بنفس الطريقة التي يفعلها البشر 4  الاعتماد الكامل على البرمجيات والأجهزة الأخرى التي تشغلها  وهذا يعني أن أي خلل في هذه الأجهزة يمكن أن يؤدي إلى أخطاء في العملية 5  الصعوبة في التعامل مع مفاهيم المعرفة التي لم تتم معالجتها بعد في البحث العلمي والتكنولوجيا على الرغم من هذه السلبيات  إلا أن الذكاء الاصطناعي يتمتع بالعديد من المزايا والقدرات الفريدة التي يجعلها فعالة للغاية في العديد من المجالات ,0
عاوز حد كويس بيشرح لغة c ,0,شرح الأستاذ عبدالرحمن جمال في ترجمته لكورس CS 50 كان رائع جدا    رابط الكورس  https   youtube com playlist list PLknwEmKsW8OvMsFbU9zo8oJCprAsgc4LO,1
ما هو ال parametre في لغة البرمجة  ,0, هو معامل الدالة اي مثل متغير معرف في نطاق الدالة وقيمته تأخد من استدعاء الدالة واعطائها معطيات argumentsمن الدالة الرئيسية يعتبر من البديهيات فهمه يأتي مع الممارسة ,1
لو عندى فكره موقع وعايز مطور ينفذهالي اعمل ايه  ,0,ادرس الفكرة الموقع وايش الاحتياجات عشان يتنفذ هذا الموقععشان تكسب المعرفة لازمة وتختارر الناس الصح لتنفيذ مشروعك ملاحظات حول المبرمج   يجب ان يكون متخصص يجب عليه انه يسلمك الكود المصدري للمشروع source code  full stack developer يعمل ك لتجنب التكاليف ان ينشأ جدول ويضع لكل سعر سعره مثل التصميم يكلف ٥٠ والبرمجة تكلف ٨٠ المجموع ١٣٠ مثلا    عشان ما يحصل تلاعب بالأسعار  امتلاك معرفة ولو سطحية يسهل عليك الكثير ,1
من فضلكم   ماهي افضل الكتب باللغة العربية لتعلم لغة البايثون python language  ,1,اذا كنت مبتدأ يمكن ان تتعلمها بكل سهوله من تطبيق مجاني يسمي Mimo,0
لماذا لا تريدني بعض المواقع أن أخرج من صفحة الويب الخاصة بها    أعني أنقر على موقع الخروج من الموقع   ولكن لا تزال الصفحة ت حد  ث فقط    فقد بدأ الأمر يصبح مزعج ا حقا,1,أنا كنت زيك كدة لغاية ما كرمني ربنا برنامج منع الازعاج من الاعلانات المقفرفة دي,1
كيف أبدأ في مشروع البيع عبر الأنترنيت عن طريق إنشاء موقع خاص بي  وما هي الإكراهات التي ممكن أن أجد ,0,أكبر مشكل انه يمكنك إكمال الموقع و السلع و التوقف عند إيجاد بوابة دفع إلكترونية تقبل البطاقات البنكية كسترايب و غيره  وفقك الله ساعطيك شروحات لاحقا إن شاء الله ,0
ازاي يبقي نفسي طويل و اقاوم التحديات البرمجه  ,0,الأصح أن تجعل نفسك طويل عامة ثم في البرمجة خاصة عليك أن تبتعد عن مواقع التواصل الإجتماعي و الهاتف عامة أن تحاول أن تعالج ماخربه هذا الإدمان بالقرأة للكتب الطويلة دون صور أما بخصوص البرمجة عليك أن تضع نفسك في مكان خاص بالدراسة ويكون فيه ضوء من الخطاء أن تدرس في السرير أو في الضلام العقل يربط بين الأماكن وترسخ في عقلك أن السرير للنوم إذن إبحث عن مكان أخر للدراسة ,1
ما هي الخطوة التالية في تعلم البرمجة بعد تعلم لغة html و css و javascript ,0,بعد تعلم لغات HTML و CSS و JavaScript  يمكن الانتقال إلى تعلم لغة برمجة الويب الأكثر شيوع ا واستخدام ا  وهي لغة PHP  ت ستخدم PHP بشكل واسع لتطوير تطبيقات الويب الديناميكية ويعتبر تعلمها مهم ا لأي شخص يرغب في تطوير تطبيقات ومواقع الويب بعد ذلك  يمكن التحول إلى تعلم لغات البرمجة الخلفية الأخرى مثل Python أو Ruby أو Java  والتي تستخدم لتطوير تطبيقات سطح المكتب وتطبيقات الهواتف الذكية والأجهزة اللوحية يجب أن يتم تعلم البرمجة على مستوى أساسي بشكل جيد قبل الانتقال إلى تعلم لغات البرمجة الأخرى وتطبيقاتها العملية  ويجب التدرب على كتابة الأكواد وحل المشاكل البرمجية المختلفة لتحسين المهارات البرمجية ,0
ليه لما باجى احول ال resolution بتاعة شاشة اللابتوب من 1080p ل 1366 768 الشاشة والخطوط بتتغير جودتها للأسوء مع ان المفروض انى بقلل الجودة مش بعليها   وانا برتاح على ال resolution دي اكتر في تشغيل الفيديوهات وعاللاب عموماايه الحل لكدة بحيث لما احولها ل 1366 تبقى كل حاجة واضحة زي 1080p وسؤال تانى هل الشاشة ال glossy افضل ولا matte  ,1,السبب في تغيير الخطوط الى جودة اسوء هو لانك قللت الجودة من الاصل من 1920 1080 الى 1366 768وبالنسبة لاستغرابك بـقول  المفروض اني بقلل الجودة مش بعليها  هنا تقول العكس تماما  في مبدأ الجودة حيث الصحيح هو انك اذا قللت سوف تلاحظ تغيير الى الاسوء   واذا زيدت سوف تلاحظ تحسين بالجودة  وبالنسبة لاختيار نوع الشاشة فأنصحك بأختيار نوع الشاشات المصمتة  matte   الشاشة التي على اليسار في الصورة  والسبب انها لا تضر بالعين على عكس نوع شاشة  glossy   الشاشة التي على اليمين في الصورة  حيث يوصي الاطباء انه اذا كان لديك مثل هذه الشاشات اللامعة  العاكسة  فيجب على الاقل ان ترتدي نظارة طبية دمتم بخير وعافية,1
كطالبة اخراج هل اشتري جهاز Pc ام يمكن المونتاج على الايباد   الايباد اسهل في التنقل مارئيكم  ,0,بانسبة للأيباد برو الجديد بشريحة M2 أو M1 بالطبع يمكنك الإعتماد عليه في شغل المونتاج  أشخاص كثيرة من صناع المحتوي يعتمدون عليه في شغلهم  أنصحك بمشاهدة مراجعات علي اليوتيوب لمستخدمي أيباد برو في عمل المونتاج ,0
اريد شرح باختصار ل MS DOS و FreeBSD  ,0,MS DOS  هو نظام تشغيل قديم تم تطويره في الأساس من قبل شركة مايكروسوفت في الثمانينيات  كان يعتمد على واجهة سطر الأوامر وكان يستخدم على نطاق واسع في الكمبيوترات الشخصية والأجهزة الصغيرة  ويعد الآن بمثابة نظام تشغيل تاريخيFreeBSD  هو نظام تشغيل ينتمي إلى عائلة  يونيكس وهو مجاني ومفتوح المصدر  يستخدم فيunix العديد من المجالات مثل الخوادم والشبكات وأنظمة التشغيل المضيفة  يتميز بالأمان والاستقرار ويوفر واجهة سطر الأوامر وواجهة المستخدم الرسومية ,0
ما هو الweb caches  وما هي فائدته  ,0, هو عملية حفظ نسخة من صفحة الويب على الخادم المؤقت لتقليل الوقت اللازم لتحميل الصفحة من خادم الويب الرئيسي في المستقبل  يمكن للمستخدمين الوصول إلى الصفحة المخزنة في الخادم المؤقت بشكل أسرع لأن الصفحة لم تعد تحتاج إلى الحصول على كافة المكونات من الخادم الرئيسي,0
ايهما افضل الامن السبراني ام تقنية المعلومات,1,يعتمد اختيار الأفضل بين الأمن السيبراني وتقنية المعلومات على الاحتياجات والأهداف الخاصة بكل شخص أو منظمة تقنية المعلومات  أما الأمن السيبرانيبالتالي  فإن اختيار الأفضل يعتمد على الأولويات والاحتياجات الخاصة بك  إذا كانت الحاجة إلى تحسين كفاءة الأعمال هي الأولوية الرئيسية  فإن ,0
كم أسعار إنشاء قاعدة بيانات و ربطها بموقع ,0,لا يمكن تحديد سعر إنشاء قاعدة بيانات وربطها بموقع بشكل دقيق  لأن هذا يعتمد على العديد من العوامل المختلفة  مثل حجم قاعدة البيانات ونوع البيانات المخزنة وتعقيد النظام الذي تحتاج إليه والوظائف الإضافية التي تريد تضمينها ومدى تفاعل المستخدمين المتوقع ,0
كيف أدرس علوم الحاسب بشكل جيد و أتأسس جيدا فيه  و المصادر التي من الممكن ان أتعلم منها ,1,منهج ossu منهج الكثير من الناس رشحوه ليكون الأفضل ,1
هل العمل فى مجال البرمجة بمسارتها المختلفة مقتصرة على الخريجين فقط ام على أصحاب المهارة ,0,لا بل أكثر العاملين في المجال لم يدرسوا برمجة نظاميا بل عن طريق التعلم الذاتي الشركات الكبرى العالمية لا تطلب الشهادة أسامة الزيرو صاحب قناة الزيرو سكول خريج خدمة إجتماعية ويمكنك إعتباره أشهر مبرمج عربي,1
كيف أخترق شبكات الواي فاي المحيطة بي بواسطة الحاسوب  من لديه معلومات في هذا الشأن   ,0,اذا كان لأسباب غير مشروعة فتأكد من أنه محرم وإعتداء على حقوق الغير اذا كان لأغراض تعليمية يمكنك التعلم وانشاء مختبرات إختراق خاصة بك وذلك عن طريق ,0
ما هو افضل تخصاص فلعمل هل هو الذكاء الاصطناعي او حسبات ومعلومات  برمجه   ,1,لا يوجد تخصص  أفضل  عالمي ا تجاه كل شخص  كل من الذكاء الاصطناعي والحسابات والمعلومات يحمل فرص عالمية تبع ا للمناخ الإقتصادي والتكنولوجي والاحتياجات الإجتماعية المحلية وخبرة ومهارات الشخص ان أفضل عمل هو العمل الذي تستطيع القيام به بشغف وتحبه وتتأهل له ,1
السلام عليكم ورحمة الله وبركاته أريد أن أسألكم بخصوص هاتف redmi note 8 توصلت بتحديث miui 12 0 6 0 اعتقد سنة 2021 و لحد الان لاأعرف هل هو جيد ام به مشاكل بخصوص البطارية او التشنج او ما الى ذلك مارأيكم اقوم بعمل التحديث او اترك الهاتف على miui 11 0 12 0 و شكرا  ,0,جيد عادي أنا حدثته لم اواجه مشكلات كبيرة بعد,1
كم تأخذ فتره اساسيات computer science كورسات زي cs50و datastrutcure و database و operating system خاصتنا ان مجمل الكورسات كل كورس من ٨ ال ١٥ ساعه فيديوز وازاي اذاكرهم صح بالتطبيق   مع العلم ان في تانيه علوم حاسب وحاليا اجازه منتصف العام ,0,المدة التى ستأخذها للإلمام بهذة المواضيع يعتمد على مستواك   هل انت مبتدأ  ام هل مستواك متقدم انت من تحدد هذا   ولكن من رأيى أن تبدأ ب cs50اولا قبل كل شئ   سيعلمك اساسيات البرمجه وايضا هذا الكورس يتضمن اهم المواضيع فى ال algorithms  data structure لهذا ابدأ به اولا   وعندما انتهى منه ابدأ بدراسة المواضيع الأخرى   ستجد سهوله أكثر فى الفهم,1
ما الفرق بين css و ui design ,0,شيئين مختلفين لا علاقة مباشرة بينهما css و ui design ولكل واحد منهم عمل خاصبينما سي أس أس  يختص في تصاميم صفحات الشبكة العنكبوتية تقوم  ui design  بتصاميم الواجهة الامامية للاجهزة والمعدات CSShttps   www w3 org   webdesignBut UI design,0
هل يوجد تطبيق يحفظ الأرقام المسجلة عبر الإيميل وتجدها في أي هاتف تريده ,0,هتعمل نسخة إحتياطية للارقام على ,0
مرحبا   لدى ثلاثة اشهر قبل ان يبدأ عامي الدراسي الاخير ادرس  IT  احب مجال الذكاء الإصطناعي واتمني ان يكون مشروع تخرجي بهذا المجال  هل هذه الفترة كافية لتعلم ما يؤهلني لهذا المجال  ,1,إذا عندك فكرة صديقي عن الموضوع ليش ماتجرب  شوف شي فكره بتعتمد على الذكاء الصناعي وجرب اشتغل عليها بالكود وقول ياكريم,0
محتاج شخص ينصحني إزاي اقدر أختار مجالي في البرمجه لأني في سنه تانيه وتايه ومش عارف اعمل ايه   ,1,بكل بساطة خدي نظرة عامة عن جميع مجالات البرمجةو يكون بعلمك انو كل مجال و ألو صاحبو مثال  تصميم المواقع بيطلب شخص بحب التصميم و الهيكلةالذكاء الاصطناعي بيطلب شخص بيتمتع ببالبحث إيجاد الحلول لمشكلة معينةاو انك تختصي بعلم البيانات فلازم يكونك بتحبي  لرياضياتو البرمجة بشكل عام بتحتاج شخص بيتمتع بالتفكير المنطقي و التفكير خارج الصندوقو بعد ما تتعرفي على المجالات و تختاري المجال يلي بناسب اطباعك بتبحثي على خطة كامل لتصيري محترفة بهاد المجال و بسمع تمنياتي ألك بالتوفيق الدائم,1
هل يوجد تطبيق يعرض لي عدد الهواتف المحمولة التي تم تسجيل رقم هاتفي عليها ,0,لا يوجد تطبيقات على الإطلاق التي تمكنك من معرفة عدد الهواتف المحمولة التي يتم تسجيل رقم هاتفك عليها  لأنه يشكل خطرا على الخصوصية كذلك  البعض من شروط الاستخدام لهذه الخدمة التي تقدمها الشركات العاملة في مجال الهواتف الجوالة يحظر عليها الإعلان عن هذا النوع من المعلومات  لذلك يصعب الحصول عليها,0
لماذا اختراق كلمات مرور الوايفاي سهل لهذه الدرجة مع اني لا اعتقد ان حمايتها صعبة ,1,المشكلة في حماية wifi هو ان هو wifiهو عبارة عن موجات كهرومغناطيسية منتشرة في الهواء على مجال واسع أي ان أي شخص بلاقط قوي يمكنه التقاط الموجات من مسافات كبيرة يكمن الحل في تشفير المعلومات المرسلة من المستخدم والمودم وهو حل يتم استخدامه في الشبكات السلكية ولا سلكية بطرق مختلفة   إذن لماذا لا يزال هناك اختراق   لان لا يمكننا تشفير جميع المعلومات  لماذا   الإجابة بشكل سهل   تخيل معي انك تريد إرسال بريد لوالدك عبر شركة توصيل ولا تريد لشخص غيره قراءتها ستقوم بتشفير الرسالة بطريقة متفقه بينكما لكن لا يمكنك تشفير العنوان لان في هذه الحالة لن تصل إلية الرسالة  هذه احد اهم المشاكل التي تواجه المختصين  تم إيجاد الكثير من الحلول الفعالة ربما افضلها هي استخدام سيرفر RADIUS للتحقق من الهوية لكنها مكلفة وغير مجدية للأشخاص العاديين  ليس من المنطقي ان تحمي مليون بشراء خزنة قيمتها مليون او اكثر    هناك طرق كثيرة للاختراق ولا يوجد حل كامل لتامين المعلومات وكل ما كان الحل اقوى كانت التكلفة اكبر والمعركة لا زالت مستمرة بين القراصنة  أتمنى إجابتي كانت شافية حاولت التبسيط وعدم الدخول في التفاصيل لان إجابة واحدة لن تكون كافية اعلموني إذا كنتم تريدون تفاصيل اكثر فانا اكثر من مرحب  ,0
كيف أقوم بعمل نسخة واتساب ذهبي خاصة بي      الجميع يعلم ان جميع نسخ واتساب الذهبي غير امنة ولكنها تتمتع بمميزات اضافية ومهمة عن النسخة العادية فكيف اقوم بعمل نسخة واتساب ذهبي انا مطورها لاستفيد من المميزات والحصول علي الامان لانني انا المطور  ,0,عليك أن تقوم بعمل هندسة عكسية للتطبيق نفسه و انصحك بعملها بعيدا  عن جهازك رئيسي للمحافظة على بياناتك من المخطرقين عليك انت تكون على معرفة بلغة تطوير الويب لأن واتساب يعتبر تطبيق و موقع ويب ايضا  فسوف يظهر لك جميع برمجته بهذه اللغة تحتاج لتعلم الهندسة العكسية لفعل هذا هناك نسخة واحدة منه باللغة العربية على الأنترنت,0
ما أفضل لغة برمجة لأبدأ بتعلمها  جافا  بايثون  سي    أم لغة أخرى ,1,السلام عليكم ورحمة الله وبركاتهأولا أنا لست خبيرة بالبرمجة ولكنني بدأت دراستها في الجامعة ومن وجهة نظري أن تبدأ بلغة السي وسأرفق رابط قناة جيدة على اليوتيوب لتبدأ منها,0
مارأيك بالرغبى الشديدة في المال التي تجعلهم تعلم مجال صعب من كل جانب كالبرمجة الذي تحتاج الكثير من الرغبة والصبر أقصد فقط فئة الناس الذين يتعلمونها من أجل المال ,1, المال و البنون زينة الحياة الدنيا  كما قال ألله عزوجل في سورة الكهف  إنما سنحاسبوا على كيفية جمع هذا المال و فيما صرفناه وإلا إذا كنت تستطيع أن تمتلك الدنيا عن طريق الحلال فأفعل ,1
هل يمكننا الوصول بالآلة الذكية إلى تتحكم بالإنسان ومشاعره وحركاته وسكناته  مجرد تساؤل,1, لا  لا يمكننا الوصول بالآلة الذكية إلى تتحكم بالإنسان ومشاعره وحركاته وسكناته  يمكن للآلة الذكية التعامل مع البيانات التي يتم توفيرها لها والتعامل معها لتوفير خدمات معينة  ومع ذلك  يبقى الإنسان هو الذي يتحكم في مشاعره وحركاته وسكناته ,0
ما هو مسار تعلم لغة برمجية  كلغة البرمجة C مثلا ,0,تعلم لغة البرمجة C يمكن أن يتطلب مسار ا متدرج ا ومتعدد المراحل  يمكن للطلاب المبتدئين البدء بتعلم الأساسيات العامة للبرمجة والتي قد تتضمن تعلم لغة البرمجة يتطلب الكثير من التمرن والتدريب العملي  ولذلك يجب أن يتم اختيار مسار تعلم مناسب لمستوى الطالب ويجب أن يتم التركيز على التدريبات العملية والمشاريع العملية ,0
هل يمكن اختراق شريخة الهاتف و كيف اعرف انها مخترقة   ,0,نعم  يمكن اختراق شريحة الهاتف  يمكن للمخترقين الاستفادة من ثغرات الأمان الموجودة في برامج الهواتف الذكية للوصول إلى البيانات الخاصة بالمستخدم  يمكن أيض ا للمخترقين استخدام برامج الاختراق التي تستخدم معالجات البيانات والبرامج التي تستخدم في الهواتف للوصول إلى البيانات يمكنك التحقق من ذلك باستخدام برنامج التشغيل الخاص بالهاتف الخاص بك  يمكنك أيضا التحقق من إعدادات الأمان للتأكد من أن الهاتف لم يتم تهكيره  يمكنك أيضا التحقق من سجلات السيرفر للتأكد من أن لا يوجد عمليات مخترقة نشطة ,0
اريد ارجاع حسابي علي الفيس بوك علما بانه لا اتذكر الباسورد ولا الرقم ولا يوجد عليه ايميل هل تقدرو تساعدوني  ,0,للأسف  لا يمكنني المساعدة في استعادة حساب الفيسبوك الخاص بك  ولا يمكنني الوصول إلى حسابات الفيسبوك أو تعديلها كأي نوع من الحسابات الأخرى  للمساعدة في استعادة حساب الفيسبوك الخاص بك  يرجى الاتصال بدعم الفيسبوك من خلال الرابط التالي  ,0
كنت اعبث في الكود الخاص باحد المواقع حتى ظهر لي مثلث احمر كتب بجانبه تم تسجيلك ضمن محاولة اختراق للبيانات فماذا يعني هذا ,0,السلام عليكم  لاعليك يا صديقي  على الاغلب هي حيل على المواقع لجذب انتباهك لتضغط على هذا المربع فينقلك الى صفحة اخرى لتسجل فيها او تعطي رقم تلفونك يبيعوه للشركات الدعائية او لتنزيل برامج,1
