Question,Q_Annotation,A_Annotation,Final_A_Annotation
توقف منتدى dev point عن العمل  هل انتهى زمن المنتديات  ,1,لم أفهم ما معنى منتدى  وما علاقته بالفيسبوك  ممكن التوضيح ,1
بينلاب   منصة تساعدك على تعلم حماية وإختراق تطبيقات الويب من خلال التطبيق والتحدي مع الآخرين  ,1,أنصحكم بالتالياولا وضع اسلوب ربحي للموقع حتى لا يأتي يوم وتغلقونه لانهم لاتستطيعون تحمل تكاليفه  كيف تربح المواقع المنافسة ثانيا امر جيد ان يكون الموقع بالعربي لكن بعد ان يصبح الموقع مستقر اول شيئ انصحكم به هو ترجمته الى الانجليزيةثالثا التسويق ثم التسويق وليس هناك ماهو ارخص وافضل من التسويق بالمحتوى افضل شيئ انشاء قناة يوتيوب ومدونة بالانجليزية,1
CrossOver   شركة توظف مطورين ومبرمجين من المنزل برواتب خيالية   1200 في الأسبوع   ,1,انا نجحت في جميع اختباراتهم  وتم قبوليطبعا  لا انصح احد بالتعامل معهم مطلقا   نظام القبول والاختبار لديهم مضيع للوقت والجهد بشكل كبير بعد ان يتم قبولك ستبقى تنتظر حتى يختارك احد عملائهم للعمل معه  وقد تنتظر اشهر ولا يختارك احد  اي ان كل ما يقولونه عن انفسهم هراء فأنت لا تعمل معهم  انما هم مجرد منصة ليبحث فيها العملاء عن مطورين ,1
اريد ارائكم في هذا العمل ونصائحكم في كيفية منع سرقة التصاميم,1,اليك هذا الدليل من معمل الوان  ارجو ان يفيدك  ,1
هل يمكن عرض كلاس معين فقط بال json  وتجاهل باقي المحتوى باعتماد الأمر التالي,0,قم بتحويل المحتوى الى  DOM ثم قم بأخذ الكلاس وعرض المحتوى الموجود فيها فقطمثلا الافضل استخدام getElementById بدلا  من getElementsByClassName,1
أسهل طريقة في تحويل أي جهاز  كمبيوتر إلى سيرفر,1,هل انت بخير ما هذا الكم الهائل من التعليقات والرد على نفسك إنه اشبه بالسبام فنحن فعلا لسنا مترقبين حالة الموقع لتبقينا على اطلاع بكل شاردة وواردة اتقي الله فينا   ,1
كيف تقوم بتسليم الموقع الى عملائك,1,أرى أنه أفضل طريقة وهي أن تشتري له الإستضافة من عندك حتى يكون لك الحق في أن تزيد عليه إضافات مالية في الخدمة التي قدمتها له من رفع الملفات وإعداد قواعد البيانات وإدارة الإستضافة وغيرها من الأمور الأخرى التي قد تظهر مع المدة أما بخصوص الإستضافة فأنصحك أن تتعامل مع hosting24 ,1
ما رأيكم في متجري,1,التصميم أعجبني ظاهريا لكن من ناحية تفاصيل الكود لا يمكنني الجزم حول توفيقه ثانيا  سرعة التحميل بطيئة  أخذ مني النزول للأسفل ثم العودة لانتظار بعض الصور لتظهر بالتوفيق,1
ما هي لغة البرمجة والتقنيات التي احتاج الى تعلمها لتطوير بوت يشتري ويبيع الNFT تلقائيا بدون تدخل مني على شبكة الايثيريوم ,0,في البداية عليك بالإلمام التام للغات  html   css   javascript  والتعمق أكثر في لغة البرمجة javaScript  وفهم ألية عملها جيدا جدا  ثم تأتي مرحلة مهمة جدا بعد ذلك والتي ستساعدك أكثر علي تطوير البوت JSON وتعلمها سيكون متواصلا بعد تعلم الجافا اسكربت  مع معرفتك التامة في بالتعامل مع الحاسوب وبرمجتة ,1
ما الذي يؤلم المبرمج العربي ,1,نشرت تطبيقات كثيرة ومهمة لكن كل أعين مدوني التقنية على المواقع الأجنبية    واحدة منها كات تطبيق أونلاين   الواجهة لا تحتوي على كلمات انكليزية فقط رموز   لم يتحدث عنه أحد   لكن لما قام موقع انكليزي شهير بنشر التطبيق   تم ترجمة الموضوع الى العربية من قبل مدونون ويوتيوبرز,1
لماذا تعتبر وورد بريس أهم منصات بناء المواقع,1,الوورد بريس أفضله شخصي ا وأستريح في التعامل معه  لكني وجدت في الآونة الأخيرة كثيرين ممن لا يحبونه ولا يحبون التعامل معه  قائلين أن بلوجر أفضل وأسهل  ويمكنهم من الحصول على أرباح بدون مشقة الوورد بريس ومتطلباته الكثيرة  وأيضا كون البلوجر مجاني بخلاف الووردبريس الذي يشترط دفع الأموال عندما تريد شراء قالب جيد ,1
أول مشروع لي بلغة بايثون وباستعمال إطار العمل جانغو   مدونة بسيطة جدا,1,عندما قلت مشروع ظننتك اطلقت مشروع حقيقي لكنه اتضح لي أنه تطبيق عملي أو مشروع تجريبيالمهم   ليس لي معرفة بلغة بايثون ولكن كأول مشروعك لك اتوقع أنه عمل جدا  ممتازاتمنى أن تستمر وتواصل التطور اكثر بالتوفيق لك,1
هل لديكم أي اخبار عن موقع أردرويد  ,1,أنا أفتقد موقع منشر  صراحة ,1
محيط آخر اعمالي في بيكاليكا,1,القالب جميل جدامع انه لاخبرة لدي البتة في القوالب  لكني كمستخدم ان دخلت على موقع يمتلك مثل هكذا تصميم فاني سانجذب له بكل تأكيد استمر على هذا   و بالتوفيق ان شاء الله,1
لماذا يتم تضمين   use strict   في كود جافاسكربت    ,0,شكرا  لك أخي الكريم شرحك للـ  use strict  لي تقريبا  11 يوم و أنا أتابع دروس الـ JavaScript من قناة المهندس العظيم أسامة Elzero و طلب مننا المهندس في أحد شروحاته البحث عن  use strict  و وجدت شرحك لها صدفة و أحلى صدفة دمت بكل خير  ,1
ما هي المتطلبات الكاملة لتطوير موقع,0,الكلمة المفتاح للبحث هي   roadmap   سأقترح عليك بعض الروابط المفيدة التي تشرح التسلسل المنطقي للمبرمجي الواب في 2018  ورغم قدم هذا الموضوع فاني ارى انه من المفيد مشاركته معك لانه يحتوي على معلومات و مصطلحات تقنية مفيدةبالتوفيق,1
إطلاق موقع لعبة  GuessChallenge   أراؤكم,1,الفكرة جيدة و لكننى احتجت إلى بعض الوقت حتى استطيع التعامل مع الواجهة لذا اقترح إضافة tutorial يشرح اللمستخدم كيفية استخدام و طريقة عمل الموقع تحياتى ,1
تم إطلاق موقعنا   نحتاج لملاحظاتكم  ,1,يجب كتابة فكرة عن الغرض من الموقع في أول ظهور للموقع في المساحة الفارغة  كخمسات مثلا   السوق العربي لبيع وشراء الخدمات المصغرة   أنجز أعمالك أو قد م خدمات للآخرين بدءا  من 5  فقط  روابط التسجيل والدخول لا تظهر جيدا حبدا لو تم تغيير اللون الى لون فاتح,1
 أتفك  ر  ل م  ل م  تصلني رسالة بأنني أستحق الشاورما ,1,لقد وصلتني أخير ا    hade alahmad1  zomorroda  Rola_Abboud,1
عندما ي خبرك صديقك أنه أكمل تعلم البرمجة بال HTML,1,هذا انا بعد ما تعلمت ال html و css,1
كلمات طالب باكالوريا يحب   ناروتو ,1,لا يوجد أفضل من نسخة أدغال الديجيتال   ,1
كيف تجعل الجميع يعترفون بحبهم لك من سؤالين ,1,Illuminate لها شأن في هذه الخدعة,1
هل سبق وتعرضت لموقف محرج وسخيف بنفس الوقت  ,1,أذكر أني حين كنت في المدرسة الابتدائية كنت أشرب العصير بالقشة مع أحد زملائي و حين قال شيء مضحكا   لا أذكر ماهيت  انفجرت ضحكا لكن ليس من فمي بل من أنفي فقد كانت القشة في فمي فلم تجد الضحكة مخرجا الا من أنفي صاحبه خروج المخاط       0             0      ,1
مذا لو كان بإمكاننا رئية الأشعة فوق البنفسجية  ,1,أهلا  يوسف  ,1
ما الذي يميز ابناء بلدك عن غيرهم من البلدان ,1,اللهجة المفهومة جد ا   هي الأقرب للعربي ة بين اللهجات الأخرى و الشاورما  على ما يبدو  ,1
لو أ تيح لك السفر إلى دولة أوربية في  فصل الصيف  ماذا ستكون ,1,بالنسبة لي لا احب الدول الاوروبية ولكني احب الاسيوية كاليابان وكوريا ولكن ان كان علي الاختيار ساختار تركيا,1
ماذا يعتبرون هتلر   افتخار أو احتقار ,1,لو اتيحت لهم الفرصة فسيمجدونه اكثر من اول,1
أثبت لي أن ك عشت أيام الجيل الذهبي باكمالك كلمات هذه الأغاني  ,1,ياااااااااااه اعدت الي ذاكرتي الجميلة  اتعلم ما يضحكني انك تقول جيل ذهبي وفي الحقيقة كل جيل يرى جيله هو الجيل الذهبي  على اية حال على الرغم من كوني من  الجيل الذهبي  لم اعرف سوى ثلاثة اغاني فقط اثنين منهما سمعتهما في الشهر السابق من النت هما هزيم الرعد و سيمبا وكلاهما اغنيتان رائعتان    بما اني متابع  جزئي  لهذه المسلسلات ايام الطفولة,1
أمنية تراود خاطرك ,1,احدهم يدفع لي لمجرد انني حي اتنفس دون فعل شيء,1
عندما أقوم بحل مشكلة برمجية  D,1,في وقت مضى عندما كنت أعمل في المنزل ويأتي الحل بعد عناء أرفع يدي وأتمتم بكلمات تعبر عن الفرحة,1
لماذا يرتدي مبرمجي جافا نظارات,1,لعبة الأحرف والكلمات ذكرتنا بهذه التسلية ツ,1
 كأنه يقول    كسوك أنت وجعلوني عاريا      فما عدت أدري من الحي فينا ,1,الأمر ليس مضحكا   ولا أظنك تسخر منه ,1
إن لم تكن من الإدارة فالحالة الوحيدة لمعرفة عدد الم سلبين لتعليقك هو أن تنتظر سندوتش الشاورما أو الربوت الذكي أو ترتشف فجان من القهوة   ,1,ماني عارفة يعني موقفك ماكان محرج كفايه  ولا في احد ركب درجاتهم  ولا لماذا التسليب    ,1
عندما يكون اليأس والإحباط بنكهة الإبداع ツ,1,الصورة في رابط الموضوع هي محاولة حل لسؤال في امتحان تشعبت المعادلة كثيرا  مع الطالب فحاول إنهاؤها بطريقته الخاصة ツ,1
عندما يكون ضميرك البيئي  حي  ,1,من الق در  ,1
صورة   اعدام ماريو  ,1,لم أفهم المقصود ,1
بين  جرعة عدم النوم  و  اكسير الخلود   ماذا تختار لتحقيق أهدافك ,1,هكذا فعلت  ,1
عندما يريد عبقري البرمجة و التصميم ان يصبح صديقك  عندها انت حققت اعلى احلامك  أرجو من الحاسدين ان لا يحسدوني,1,سج ل هذا في سيرتك الذاتية  سيكوباتي  يعمل لدى كل شركات وادي السيلكون طلب صداقتي ,1
ما السر في تاريخ اليوم   ,1,2 2  4,1
ما هى أول كلمة تبحث عنها يوميا عندما تفتح الانترنت ,0,أقوم بفعل الاتي بشكل أوتوماتيكي  ,1
عزيزي ثمود  هل يمكن إرسال الشاورما من السعودية إلى تونس ,0,ياجماعة رمضان على الأبواب  تدربوا على الصيام   ,1
اذا لم تلعب بهذه اللعبة من قبل على متصفح الكروم فانت لا تعرف معنى الانترنت البطيء انا لعبتها لحد الان لما يزيد عن خمس مرات   ,1,لدي سرعة إتصال 8 ميجا بت وألعبها دوما    ,1
ما هي الأشياء التي جربتها و ندمت عليها  ,1,لقد قمت بنفس الأمر بالضبط لكن مع وجود فارقان,1
 صورة  إندماج الألمان في الشعوب العربية بدل العكس   ,1,السوريون مقارنة بباقي الجنسيات المتواجدة في ألمانيا هم اكثر فئة اندمجت في ألمانيا ومنهم من اصبح ممثل مشهورا  واعلاميا واشياء كثيرة,1
نهاية التحفيز الذاتي   صورة,1,وبعد ذلك أعود لأكل الحلوى وترك التمارين ومشاهدة MBC ACTION ثم الشعور بتأنيب الضمير في نهاية اليوم   واليوم الذي بعده نعود أمام المرآة,1
ما هي الجملة أو الاقتباس الذي تتخذه شعار ا في حياتك ,1,في الآونة الأخيرة  وبعد ترس خ عاجة القراءة في يومي بشكل  اعتيادي    لم أعد أعتني صراح ة بفكرة أن يكون لي شعار ا حياتي  ا يتلخ ص في جملة واحدة فقط  لكن من جهة أخرى  فأنا أندهش دائم ا من المقدرة اللغوية لدى عدد لا نهائي من الكت اب  هذه القدرة على صياغة الحياة أو على الأقل منظور لا يفو ت منها  في جملة صغيرة أو اقتباس  لذلك قد أضع مجموعة من المقولات المفض لة لدي  في هذا الصدد  لا أعتبر أي  ا منها شعار ا في حياتي  لكنني أرد دها على الدوام من باب ممارسة الجمال الأدبي والفلسفي  إليك  بعضها ,1
سؤال عبثي   هل سيكون فى الجنة كمبيوتر ومجتمع مطورين للويب O_o,1,مع أنه وضع للتسلية لكني سأجيب بشكل جدي ツ,1
أخبرنا عن شيء جميل فيك ,1,لا أضن الجميع سيتفق معي  المهم هذا ما فكرت فيه   ,1
هل لك أن تترجم لنا هذه العبارات الى لهجتك المحلية,1,مرحبا  كيف حالك أو شلونك بالأرياف,1
عندما يخرج الفن خارج الصندوق,1,صورة المقصات أذهلتني ,1
كم مستخدما للينكس تحتاج لتغيير لمبة واحدة ,1,كم مبرمجا تحتاج لتغيير لمبة واحدة ,1
لا تقل اهلا بل قل اهلا فلان    ,1,المشكلة ليست في أهلا  المشكلة في أهلااااااااااااااااااااااا    ثم أنسى إسمه,1
جاكارو    لعبة ر قعة ع مرها ألف وستمائة عام ,1,ذكرتني باللوح الخشبي المهترئ الذي كان عند جدتي و كل تلك الأحصنة البلاستيكية الملونة  أظنها نفس اللعبة  d لكنني كنت أستخدمها لتقديم البطاطس الوهمية ,1
هل لديك ذلك الصديق الذي يملك  صور ا ومقاطع لك يمكن أن ت دمر حياتك الاجتماعية ,1,نعم   ,1
أهم شيئ فعلته في 2015  ,1,اهم تسعة اشياء ,1
عندما يسألني أحدهم عن عدد المواد التي سأرسب بها,1,اما حال المتخرجين ,1
ما هو الكتاب الذي تنصح بقراءته لشخص سوف يموت بعد 24 ساعة  ,1,لا أهديه أي كتاب ولا أنصحه لا بقراءة القرآن ولا الحديث ولا أي كتاب ديني ,1
ما معنى اسمك في io حسوب  ,1,Wgh يعني     لا أريد أن أفشي سرك,1
شخص يعلمني عمل الكنافة النابلسية الخشنة   مستقل,1, what_the      Narjis79   الحقو حالكن وقدموا عرض سبقوكن الصبايا   S,1
هل سبق أن وصلت لهذه الحالة وأنت تبرمج   ツ,1,كنت أعاني من مشكلة قبل عدة أيام أصابتني بكابوس ممادفع أهلي لإيقاظي لأنني كنت أصرخ وأخر شيء أذكره في الكابوس هو رؤيتي لـ Database connection string الخاص بالبرنامج الذي كان يعاني من المشكلة ,1
كيف ترى الاكواد التي تكتبها   lol,1,الاولى كيف ارى اكوادي وقت كتابتها ووقت عملي على مشروع ,1
قصة مبرمج تحدي الحياة أصبح رائد اعمال,1,إذا اعجبتكم القصة فهي من تأليفي قبل خمس دقائق  _ ,1
محاولتي للتمسك بالمنهج ليلة الامتحان   ,1,أنت المنهج الدكتور  ,1
ماذا ستفعل بأول مليون دولار ,1,سيكون الأولوية لاستثمارها لآخرتي ,1
عندما تشاهد الكثير من أفلام الأكشن,1,يوم عادي في بلاد السوفييت ,1
لاتريد أن تظهر روابط المنتديات في نتائج بحث جوجل ,1,  قد يعمل هذا بنسبة 97 9    ,1
مالجديد على اليوتيوب ,1,أغنية يابانية  لماذا  لأنني هادي الأحمد  ,1
نحن فنار الملاحة  الميناء   والقرار إليك في نهاية الأمر It s Your Call,1,ربما علينا أن نحاول الفهم اولا قبل قبول او رفض اي قرار  والا فإن النتيجة ستكون  اصطدامنا  بالنتائج الكارثية  كما كان سيحدث مع حاملة الطائرات هنا  حقا نحتاج إلى هذه المبادئ في وقتنا الحالي ,1
اجوبة ذكية ومضحكة لمقابلات العمل أم أجوبة دبلوماسية ,1,أغلب هذه الأجوبة ستتسبب في طردي من البناية   ,1
 لا_تدعني_أكمل  عالم الفوضى الجزء الأول ,1,انا استسلم  انت الفائز,1
ماتفكر به قد يفكر به الجميع وانت لاتعلم ,1,الميم حقيقي جد ا فعل ا  وقد أضيف إلى أن هذه المزحة  على الرغم من كونها مضحكة بالنسبة للكثيرين من ا  تمث ل الكثير من المشكلات الاجتماعية العميقة  أجد دائم ا أن مفهوم المنظور الواحد هو الذي يؤد ي إلى بزوغ المشكلات الاجتماعية والتناقضات المختلفة  كارثة أن أرى الأمور من زاوية واحدة  أو على الأقل أل ا أتقب ل اختلاف الآخرين معي  وأن أتوق ع أن الرأي السديد الوحيد هو رأيي الشخصي وبيئتي الشخصية وتنشئتي ومحيطي  كل ها مفاهيم يجب على المنظومة التعليمية أن تعتني بالتخل ص منها في أسرع وقت ,1
يوم كالجحيم بعد ما إشترى جدي الكبير هاتف جديد,1,رائع والله اتمنى لو كان لي جد ههههه,1
التحديث الجديد     هذا ما حصلنا عليه  _ ,1,بصراحة لم افهم لما كل هذا الغضب ,1
انا شخص عاطل عن العمل  اسالني ما تشاء   ,1,قد تكون فتره العطاله فرصه لك  لتعلم اشياء جديده وتحسن فيها من مستواك ,1
خدعة بصرية  أي صورة رأيت أولا ,1,لا يمكنني تمييز من أولا    فرؤية أوراق الشجر ترافقت ورؤية الوجهين  ,1
برايكم هل هناك اختراع يمكن ان يعيدنا للماضي او نسافر به عبر الزمن ,1,هل أنا الوحيدة التي تمتلك شغف ا بالمستقبل لا بالماضي  لست تواقة لرؤية الماضي إطلاق ا  بل اتوق لرؤية المستقبل ,1
وفقا لما تراه أولا  سيحدد طبيعة علاقاتك العاطفية,1,في الوهلة  رأيت  رأس عجوز بشعر أبيض طوبل   بدأ لي شخص عنيد وعصبي مع أن  ملامحه غير واضحة تمام ا ولكن هكذا استشفيت   من رؤيتي للصورة  ثم  مع التركيز قليل ا   رأيت   فارس شجاع  ولكن يبدو لي  عابس الوجه  راب  حصان أبيض جميل الشكل والهيئة    ثم نظرت للأسفل  فوجدت  شاب ا  أو طفل ا  لا أعلم تمام ا  نائم على الارض   عليه رداء أبيض ,1
لو أخبرناك أن قصة حياتك ستتحول إلى كتاب  فأي عنوان ستختار  ,1,أنا شخص طموح  ورغم سعيي الدؤوب لأحقق طموحاتي ولكن الأمر في كل مرة سيكون أصعب من سابقاتها   ,1
 فلاش باك  شعار حسوب القديم في ماينكرافت,1,أذكر الشعار  ليس قديما  لهذا الحد  ,1
ماهي المسلسلات الأجنبية  التي تتابعها  ,0,كنت أتابع the mentalist,1
نفس الشيء   لكنكم ت حبون الآيفون ,1,افضل أن أشتري 1280 ولا ان أحصل على هدية تتمثل في  i  phone,1
مغامرات رجل المغالطة    سلطان المنطق وحامي النقاش,1,يبدو لي مقتبس عن قصة حقيقية   ,1
كيف أستطيع السيطرة على العالم ,1,مرحبا  أنا برين العبقري مستعد لتوفير افضل الخطط للسيطرة على العالم فقط ب 5    خصومات الجمعة السوداء المنتهية ,1
من هو افضل كوميدي يوتيوبر لديك ,1,Barry tube أعتقد أنه سعودي بحكم اللهجة ومحتواه جييد,1
هل تذكر الرقم السري لعضويتك في حسوب   ,0,أتبع قاعدة خاصة بي في كلمات المرور بحيث يمكنني معرفة كلمة مرور الموقع دون الحاجة لمحاولة تذكرها حيث أتبع القاعدة في إنشاء أي كلمة مرور لذا لا أواجه مشاكل في كلمات مرور المواقع ومن ضمنها حسوب IO,1
لو أ تيحت  لك الفرصة لكتابة جملة واحدة على هذه اللافتة و يقرأها كل  الأعضاء هنا  فما هي الجملة ,1,أعتقد أني سأدعو الناس للعودة للإنسانية وأن يصحوا الضمير    لأجد بعدها لا والدين في دار عجزة  ولا طفل مرمي في الطريق دون أب أو أم  ولا زوجة أو إبنة في الشارع  ولا فقير يطلب العلاج الثمين  ,1
هل تعلم أن  ترتيب الأعضاء في حسوب أعوج  ,0,ذك رتني بنقطة التصغير بالأيام القديمة  حين كنت  أصغ ر القائمة دائم ا كي أعد  مركزي  آه  الأي ام تمضي  D,1
هل الحيوانات ارقى منا  ,1,سيمبا ping,1
لو كان باستطاعتك   امتالك قوة خارقة واحدة  فامذا تختار ,1,القدرة على العودة بالزمن إلى الوراء  أو مجرد زر CTRL Z ,1
مدا لو تم توفير بعض الخدمات إلكترونيا  ,1,مجال خدمات الحكومة الإلكترونية واسع للغاية وممكن أن ي سه ل الحياة للغاية  ولكن المشكلة الأساسية هي في العقليات الكهلة العفنة التي تعشش في مراكز اتخاذ القرار ,1
مالذي راغب أنت  في تحقيقه في الوقت الحالي,1,احاول جمع 30 الف دولار لأفتح مشروع,1
عندما تكتب ل عراقي   انت انسان في قمة الرقي     ,1,هذا الگاف أحد أسباب الصراع بيني وابن عمي على تفسير أغنية محمد السالم  ,1
لماذا دائما ابغض نفسي     بسبب  انني جاهل,1,خير  ما هؤلاء الأصدقاء المسمومون    لايهم أيا يكن مستواك العلمي السؤال هو من هؤلاء لكي يقولو مثل هذا الكلام  هل يدفعون اقساطك الجامعيه  هل علموك الابجدية  هل رهنوا ممتلكاتهم ليحجزوا مكانا لهم في وظيفة ما وجئت أنت واخذتها لكي يقول هذا ليس عدلا  اذا كان الجواب لا على اي من هذه الاسئلة فلماذا تسمح لهم بالحديث اليك اصلا  لماذا تناقشهم أصلا  ,1
ما الذي تفكر فيه قبل النوم,1,إليك أفضل ثلاثة أشياء تفعلينها قبل النوم ,1
بأقل عدد ممكن من الكلمات  كيف تستفز هؤلاء  ,1,مستخدم جديد في حسوب اظنك جديد هنا  عليك مراجعة الارشادات والشروط   عنوانك مضلل   هل أنت  ,1
عندما يصبح المستقل محترفا ,1,عن طريق صورتك اكتشفت هذه,1
معلومات وقصص تساعد على هضم الفطور   ,1,هي أخبار قديمة وفي نفس الوقت غريبة  ,1
هل ي مكنك أن ت خبرني معلومة عن مهنتك لأعرف من خلالها فقط ماذا تعمل ,1,مهنتك هى مصمم  ,0
ترددي في اختيار مساري المهني ,1,الأمر ليس بهذه الصعوبة  عليك فقط البحث عن مهارة لديك أسسها على الأقل  أو لديك شغف بها ليكون تعلمها سريعا  وجود أحد هذين الشرطين سيجعل الاختيار سهلا في البداية  فكر بما تملكه أولا وقم بتطوير نفسك فيه حد الاحتراف  مثلا هل أنت مهندس برمجيات ولديك خلفية مثلا عن صناعة البرمجة والتطبيقات وما شابه  حينها يمكنك اعتماد هذا المجال    أو مثلا أنت شغوف بالرسم والتصميم والفن بصورة عامة إذا تخصص في نوع من أنواع التصميم     وهكذا   ثم بعد إتقان مهارتك المختارة في الخطوة السابقة والعمل فيها يمكنك إن أردت تطوير نفسك واختيار مهارة أخرى للعمل على تطويرها  ولكن هذه المرة ستجد انك عرفت أكثر عن طريق وجودك في سوق العمل الفعلي ,1
ماذا علي  ان افعل    نصائح عامه  اجتماعيا   دراسيا   علميا             ,1,سأخبرك يا صديقي بنظام أقوم به أنا شخصي ا لعل أن يفيدك  الروتين الصباحي  الاستيقاظ مبكر ا قبل الساعة ال9صباح ا  أبدأ بالصلاة ثم قراءة حزب من القرآن سيأخذ حوالي ربع ساعة قراءة فقط  لكنه صدقني سيشعرنا بأننا قمنا بشيء عظيم جد ا في بداية يومنا ويعطينا دفعة لبدء اليوم  فلقد قمنا بإرضاء الله عز وجل قبل أن نبدأ تقسيم اليوم بعد ذلك إلى فترات  كل فترة مكونة من 4 ساعات  إذا كنا ندرس لنجعل الدراسة أو تعلم المهارة في أول 4 ساعات لأن المخ يكون في مرحلة تركيز جيدة بين ال10 صباح ا وال1 بعد الظهر  بعدها راحة للغداء الفترة القادمة تصبح للعمل  ثم بعد ذلك القيام بما نريده بقية اليوم شكلها نصيحة بسيطة ما المميز فيها  لكن تنظيم الوقت الجيد سيفتح لنا أبواب للقيام بأشياء كثيرة أخرى  ,1
عدم وجود البياض هل يحلل لي السواد  ,1,اصدقائي كلهم من ساذجين ولكن غير محبطين بلعكس يشجعونك ويرون فرمتة الحاسوب شيء عضيم وبناء موقع شيء خارق لا يتمتع به الا الابطال الخارقونأن تكون فردا من جماعة الاسود خيرا من ان تكون قائدا للخراف   انا الان قائد للخراف لاني لم ارى أسود في حياتي الا في حسوب IO,1
الجيش أم الدراسة الجامعية ,1,راتب الشخص في الجيش هنا حوالي  3900 شهريا اذا تم قبولك   ان شاء الله   لا ترفض   ,0
هل أقبل براتب 4000 ريال في السعودية  الرياض ,1,أرى أن تقبل الوظفية المهم ألا تكون من شركات المقاولات التي لديها عثرات مالية  فكما تعلم أن قطاع المقاولات قد يحدث به تأخير في استلام الرواتب بالتوفيق,1
هل من الخطأ اضاعة ساعة او اثنين اسبوعيا  في لعب العاب الفيديو ,1,دعنا ننظر للمسألة بشكل أكثر بساطة  ألعاب الفيديو وسيلة ترفيهية وأنت تلعبها ساعة أو اثنين أسبوعيا  إن الأغلبية الساحقة من البشر بما فيهم أنت يقضون ساعات أكثر بكثير على وسائل الترفيه فحتى مشاهدة مباريات كرة القدم  والاسترخاء بالحدائق ومبادلة أطراف الحديث مع الأهل والأصدقاء وغيرها من الأنشطة اليومية هي من باب الترفيه عن النفس  وبالتالي نظرتك للمسألة على أنها إضاعة للوقت فيها كثير من المبالغة هل هذا المبلغ إذا لم تدفعه في لعبة ستتصدق به مثلا  أم شعور بالذنب بلا أي خطوات عملية المسألة نفسية فقط  فمن الواضح أن المبلغ كبير عليك أنت ذاتك  لأنك لو كنت غنيا لما شعرت بالذنب  فكل شخص ينفق حسب مستواه المعيشي  لا يشعر الأغنياء بالذنب وهم يهمون بشراء سيارة جاكوار  لو كنت من طبقة فقيرة فإنك ستشعر بالذنب من شراء حذاء ب30 دولار وستفكر في أن هناك متشردين لا يجدون ربع هذا المبلغ  في حين بالنسبة للطبقة المتوسطة فهذا هو السعر الطبيعي للأحذية ولكن سيشعرون بالذنب من شراء حذاء ب300 دولار وأن هذا مبلغ هو راتب شهري لشخص آخر  أما الغني سيجد أن 300 دولار هو سعر مناسب جدا لحذاء متواضع باختصار فإن ما تشعر به غير مبرر إن كان الوضع كما وصفته  هي حالة نفسية بسبب ما بذهنك من تراكمات أن ألعاب الفيديو مضيعة للوقت والمال  وهي كذلك فعلا إن كنت ستقضي وقتا كبيرا وتنفق مالا فوق قدراتك المعيشية  غير ذلك فهي مجرد وسيلة ترفيه كأي وسيلة ترفيه أخرى ندفع ثمنها ,1
كيف اتغير للأحسن ,1,أحيان ا تمر علينا فترات نشعر بأن  علاقتنا مع الله غير جيدة  لهذا ما تشعرين به سالي  أغلبنا إن لم يكن كلنا ينتابه مثل هذا الشعور  نحن بحاجة إلى مراجعة أنفسنا ديني ا ومهني ا وثقافي ا وصحي ا دعيني أطلب منك احضار ورقة  اكتب  بها عاداتك السيئة والسلبية التي تودين التخلص منها  مثلا لديك عادة سلبية وهي عدم أداء فرض الصلاة في وقتها  عادة أخرى  بعيد ا عن الطقوس الدينية  عدم الاستيقاظ مبكر ا وهلم جراقرري في هذا الشهر  سأتخلص من هذه العادة وستشعرين بنتائج أفضل فيما بعد  كافيء نفسك  عليها  جلد الذات لا داعي له  أيض ا لا داعي لمقارنة نفسك  بغيري  ثق  بنفسك  حذف مواقع السويشال ميديا أمر مهم جد ا من جهة أخرى سالى لديها أهداف تود تحقيقها لتشعر بالرضى عند نفسها  ستكررين ما فعلتيه في التخلص من العادات  حيث ستقومين بإحضار ورقة وتدوين الأهداف التي تودين تحقيقها في هذه الفترات وهكذا سأخبرك  ماذا أفعل في هذه الآونة بعد صلاة الفجر  أقوم بقراءة سورة الواقعة ومن ثم 10 صفح من سورة البقرة أقوم بتناول كوبين من الماء الدافئ أمارس الرياضة لمدة 15 دقيقة ثم أتناول الفطور م بالإضافة إلى كوب من الشاي بعد ذلك  صلاة الضحى أقوم بها  أحيان ا لا أواظب عليها  وهذه سلبية أحتاج إلى التخلص منهابعد ذلك القيام بمهام العمل إلى أن يحين وقت العصر   يشمل صلاة الظهر بجانب تناول الغداء وهكذا  قبل النوم بنصف ساعة  بإمكاني قراءة عشة صفحات من كتاب ما,1
ماذا تفعل عندما تكون حقا متوتر في المواقف الآجتماعية,0,اتكلم ببطء واتنفس ببطء يشعرني بالسيطرة ,1
اعاني من حرب نفسية بخصوص التحرر من عمالقة التكنولوجيا,1,بسبب وظيفتك الهروب من جوجل صعب   هو أفضل محرك بحث حاليا  و أنا صراحة فشلت فى التخلص من عمالقة التكنولوجيا   فحتى متصفح فايروفوكس يضع جوجل كمحرك بحث أساسى ,1
